cohort_month,month,months_since_signup,cohort_customers,active_customers,retention_rate_pct
2022-01,2022-01,0,5,5,100.0
2022-01,2022-02,1,5,5,100.0
2022-01,2022-03,2,5,5,100.0
2022-01,2022-04,3,5,4,80.0
2022-01,2022-05,4,5,3,60.0
2022-01,2022-06,5,5,3,60.0
2022-01,2022-07,6,5,3,60.0
2022-01,2022-08,7,5,3,60.0
2022-01,2022-09,8,5,3,60.0
2022-01,2022-10,9,5,3,60.0
2022-01,2022-11,10,5,3,60.0
2022-01,2022-12,11,5,3,60.0
2022-01,2023-01,12,5,3,60.0
2022-01,2023-02,13,5,3,60.0
2022-01,2023-03,14,5,3,60.0
2022-01,2023-04,15,5,3,60.0
2022-01,2023-05,16,5,3,60.0
2022-01,2023-06,17,5,3,60.0
2022-01,2023-07,18,5,3,60.0
2022-01,2023-08,19,5,3,60.0
2022-01,2023-09,20,5,3,60.0
2022-01,2023-10,21,5,3,60.0
2022-01,2023-11,22,5,3,60.0
2022-01,2023-12,23,5,2,40.0
2022-01,2024-01,24,5,2,40.0
2022-01,2024-02,25,5,2,40.0
2022-01,2024-03,26,5,2,40.0
2022-01,2024-04,27,5,2,40.0
2022-01,2024-05,28,5,2,40.0
2022-01,2024-06,29,5,2,40.0
2022-01,2024-07,30,5,2,40.0
2022-01,2024-08,31,5,2,40.0
2022-01,2024-09,32,5,2,40.0
2022-01,2024-10,33,5,2,40.0
2022-01,2024-11,34,5,2,40.0
2022-01,2024-12,35,5,2,40.0
2022-01,2025-01,36,5,2,40.0
2022-01,2025-02,37,5,2,40.0
2022-01,2025-03,38,5,2,40.0
2022-01,2025-04,39,5,2,40.0
2022-01,2025-05,40,5,2,40.0
2022-01,2025-06,41,5,2,40.0
2022-01,2025-07,42,5,2,40.0
2022-01,2025-08,43,5,2,40.0
2022-01,2025-09,44,5,2,40.0
2022-01,2025-10,45,5,2,40.0
2022-01,2025-11,46,5,2,40.0
2022-01,2025-12,47,5,2,40.0
2022-02,2022-02,0,10,9,90.0
2022-02,2022-03,1,10,9,90.0
2022-02,2022-04,2,10,9,90.0
2022-02,2022-05,3,10,9,90.0
2022-02,2022-06,4,10,9,90.0
2022-02,2022-07,5,10,8,80.0
2022-02,2022-08,6,10,6,60.0
2022-02,2022-09,7,10,5,50.0
2022-02,2022-10,8,10,4,40.0
2022-02,2022-11,9,10,4,40.0
2022-02,2022-12,10,10,4,40.0
2022-02,2023-01,11,10,4,40.0
2022-02,2023-02,12,10,4,40.0
2022-02,2023-03,13,10,4,40.0
2022-02,2023-04,14,10,4,40.0
2022-02,2023-05,15,10,4,40.0
2022-02,2023-06,16,10,4,40.0
2022-02,2023-07,17,10,4,40.0
2022-02,2023-08,18,10,4,40.0
2022-02,2023-09,19,10,4,40.0
2022-02,2023-10,20,10,4,40.0
2022-02,2023-11,21,10,4,40.0
2022-02,2023-12,22,10,4,40.0
2022-02,2024-01,23,10,4,40.0
2022-02,2024-02,24,10,4,40.0
2022-02,2024-03,25,10,4,40.0
2022-02,2024-04,26,10,4,40.0
2022-02,2024-05,27,10,4,40.0
2022-02,2024-06,28,10,3,30.0
2022-02,2024-07,29,10,3,30.0
2022-02,2024-08,30,10,3,30.0
2022-02,2024-09,31,10,3,30.0
2022-02,2024-10,32,10,3,30.0
2022-02,2024-11,33,10,3,30.0
2022-02,2024-12,34,10,3,30.0
2022-02,2025-01,35,10,3,30.0
2022-02,2025-02,36,10,3,30.0
2022-02,2025-03,37,10,3,30.0
2022-02,2025-04,38,10,3,30.0
2022-02,2025-05,39,10,3,30.0
2022-02,2025-06,40,10,3,30.0
2022-02,2025-07,41,10,2,20.0
2022-02,2025-08,42,10,2,20.0
2022-02,2025-09,43,10,2,20.0
2022-02,2025-10,44,10,2,20.0
2022-02,2025-11,45,10,2,20.0
2022-02,2025-12,46,10,2,20.0
2022-03,2022-03,0,13,13,100.0
2022-03,2022-04,1,13,11,84.62
2022-03,2022-05,2,13,11,84.62
2022-03,2022-06,3,13,11,84.62
2022-03,2022-07,4,13,11,84.62
2022-03,2022-08,5,13,11,84.62
2022-03,2022-09,6,13,11,84.62
2022-03,2022-10,7,13,11,84.62
2022-03,2022-11,8,13,9,69.23
2022-03,2022-12,9,13,9,69.23
2022-03,2023-01,10,13,9,69.23
2022-03,2023-02,11,13,9,69.23
2022-03,2023-03,12,13,9,69.23
2022-03,2023-04,13,13,8,61.54
2022-03,2023-05,14,13,8,61.54
2022-03,2023-06,15,13,7,53.85
2022-03,2023-07,16,13,7,53.85
2022-03,2023-08,17,13,7,53.85
2022-03,2023-09,18,13,6,46.15
2022-03,2023-10,19,13,6,46.15
2022-03,2023-11,20,13,6,46.15
2022-03,2023-12,21,13,6,46.15
2022-03,2024-01,22,13,6,46.15
2022-03,2024-02,23,13,5,38.46
2022-03,2024-03,24,13,5,38.46
2022-03,2024-04,25,13,5,38.46
2022-03,2024-05,26,13,5,38.46
2022-03,2024-06,27,13,5,38.46
2022-03,2024-07,28,13,5,38.46
2022-03,2024-08,29,13,5,38.46
2022-03,2024-09,30,13,5,38.46
2022-03,2024-10,31,13,5,38.46
2022-03,2024-11,32,13,5,38.46
2022-03,2024-12,33,13,5,38.46
2022-03,2025-01,34,13,5,38.46
2022-03,2025-02,35,13,4,30.77
2022-03,2025-03,36,13,4,30.77
2022-03,2025-04,37,13,4,30.77
2022-03,2025-05,38,13,4,30.77
2022-03,2025-06,39,13,4,30.77
2022-03,2025-07,40,13,4,30.77
2022-03,2025-08,41,13,4,30.77
2022-03,2025-09,42,13,4,30.77
2022-03,2025-10,43,13,4,30.77
2022-03,2025-11,44,13,4,30.77
2022-03,2025-12,45,13,4,30.77
2022-04,2022-04,0,11,11,100.0
2022-04,2022-05,1,11,11,100.0
2022-04,2022-06,2,11,11,100.0
2022-04,2022-07,3,11,8,72.73
2022-04,2022-08,4,11,7,63.64
2022-04,2022-09,5,11,7,63.64
2022-04,2022-10,6,11,7,63.64
2022-04,2022-11,7,11,7,63.64
2022-04,2022-12,8,11,7,63.64
2022-04,2023-01,9,11,7,63.64
2022-04,2023-02,10,11,7,63.64
2022-04,2023-03,11,11,7,63.64
2022-04,2023-04,12,11,7,63.64
2022-04,2023-05,13,11,7,63.64
2022-04,2023-06,14,11,7,63.64
2022-04,2023-07,15,11,6,54.55
2022-04,2023-08,16,11,6,54.55
2022-04,2023-09,17,11,6,54.55
2022-04,2023-10,18,11,6,54.55
2022-04,2023-11,19,11,6,54.55
2022-04,2023-12,20,11,6,54.55
2022-04,2024-01,21,11,6,54.55
2022-04,2024-02,22,11,6,54.55
2022-04,2024-03,23,11,6,54.55
2022-04,2024-04,24,11,5,45.45
2022-04,2024-05,25,11,5,45.45
2022-04,2024-06,26,11,5,45.45
2022-04,2024-07,27,11,5,45.45
2022-04,2024-08,28,11,4,36.36
2022-04,2024-09,29,11,3,27.27
2022-04,2024-10,30,11,3,27.27
2022-04,2024-11,31,11,3,27.27
2022-04,2024-12,32,11,3,27.27
2022-04,2025-01,33,11,3,27.27
2022-04,2025-02,34,11,3,27.27
2022-04,2025-03,35,11,3,27.27
2022-04,2025-04,36,11,3,27.27
2022-04,2025-05,37,11,3,27.27
2022-04,2025-06,38,11,3,27.27
2022-04,2025-07,39,11,3,27.27
2022-04,2025-08,40,11,3,27.27
2022-04,2025-09,41,11,2,18.18
2022-04,2025-10,42,11,2,18.18
2022-04,2025-11,43,11,2,18.18
2022-04,2025-12,44,11,2,18.18
2022-05,2022-05,0,11,11,100.0
2022-05,2022-06,1,11,10,90.91
2022-05,2022-07,2,11,8,72.73
2022-05,2022-08,3,11,7,63.64
2022-05,2022-09,4,11,6,54.55
2022-05,2022-10,5,11,6,54.55
2022-05,2022-11,6,11,6,54.55
2022-05,2022-12,7,11,5,45.45
2022-05,2023-01,8,11,4,36.36
2022-05,2023-02,9,11,4,36.36
2022-05,2023-03,10,11,4,36.36
2022-05,2023-04,11,11,4,36.36
2022-05,2023-05,12,11,4,36.36
2022-05,2023-06,13,11,3,27.27
2022-05,2023-07,14,11,3,27.27
2022-05,2023-08,15,11,2,18.18
2022-05,2023-09,16,11,2,18.18
2022-05,2023-10,17,11,2,18.18
2022-05,2023-11,18,11,1,9.09
2022-05,2023-12,19,11,1,9.09
2022-05,2024-01,20,11,1,9.09
2022-05,2024-02,21,11,1,9.09
2022-05,2024-03,22,11,1,9.09
2022-05,2024-04,23,11,1,9.09
2022-05,2024-05,24,11,1,9.09
2022-05,2024-06,25,11,1,9.09
2022-05,2024-07,26,11,1,9.09
2022-05,2024-08,27,11,1,9.09
