customer_id,churned,monthly_revenue,predicted_churn_probability,risk_band
CUST-0545,Yes,29.0,0.997814,High
CUST-0571,Yes,33.35,0.997406,High
CUST-0114,Yes,1046.9,0.996912,High
CUST-0230,Yes,129.05,0.996843,High
CUST-0023,Yes,133.4,0.996349,High
CUST-0096,Yes,89.9,0.996131,High
CUST-0272,Yes,472.7,0.995882,High
CUST-0382,Yes,129.05,0.995829,High
CUST-0058,Yes,233.45,0.995191,High
CUST-0411,Yes,1157.35,0.993887,High
CUST-0492,Yes,114.55,0.99373,High
CUST-0139,Yes,46.4,0.993542,High
CUST-0007,Yes,551.0,0.993295,High
CUST-0589,Yes,46.83,0.99308,High
CUST-0514,Yes,2198.95,0.992715,High
CUST-0435,Yes,42.05,0.992541,High
CUST-0198,Yes,116.0,0.992507,High
CUST-0509,Yes,268.25,0.992461,High
CUST-0420,Yes,161.95,0.991141,High
CUST-0546,Yes,197.5,0.991095,High
CUST-0140,Yes,594.5,0.990639,High
CUST-0327,Yes,244.9,0.989845,High
CUST-0371,Yes,194.3,0.989348,High
CUST-0534,Yes,33.35,0.988612,High
CUST-0365,Yes,85.55,0.988217,High
CUST-0295,Yes,172.55,0.988165,High
CUST-0425,Yes,50.75,0.987935,High
CUST-0565,Yes,348.25,0.987811,High
CUST-0129,Yes,159.5,0.987334,High
CUST-0479,Yes,68.15,0.98643,High
CUST-0216,Yes,89.9,0.986399,High
CUST-0188,Yes,1004.95,0.98634,High
CUST-0214,Yes,98.6,0.986024,High
CUST-0495,Yes,796.0,0.985935,High
CUST-0074,Yes,207.35,0.985848,High
CUST-0191,Yes,155.15,0.985487,High
CUST-0409,Yes,59.45,0.985345,High
CUST-0106,Yes,29.0,0.984825,High
CUST-0057,Yes,399.54,0.98468,High
CUST-0298,Yes,329.15,0.984571,High
CUST-0414,Yes,4258.6,0.984404,High
CUST-0317,Yes,159.5,0.984181,High
CUST-0027,Yes,29.0,0.984033,High
CUST-0504,Yes,89.9,0.982379,High
CUST-0008,Yes,233.45,0.982106,High
CUST-0467,Yes,435.07,0.981014,High
CUST-0410,Yes,1548.4,0.980662,High
CUST-0209,Yes,191.04,0.979957,High
CUST-0186,Yes,348.25,0.979936,High
CUST-0506,Yes,137.75,0.979935,High
CUST-0029,Yes,120.35,0.977971,High
CUST-0171,Yes,55.1,0.977953,High
CUST-0459,Yes,150.1,0.977818,High
CUST-0019,Yes,731.93,0.977774,High
CUST-0478,Yes,258.7,0.977344,High
CUST-0207,Yes,199.0,0.976991,High
CUST-0082,Yes,24.65,0.976912,High
CUST-0164,Yes,834.4,0.976374,High
CUST-0059,Yes,339.11,0.975785,High
CUST-0153,Yes,50.75,0.975777,High
CUST-0202,Yes,155.15,0.975633,High
CUST-0128,Yes,224.75,0.974602,High
CUST-0296,Yes,659.75,0.974117,High
CUST-0437,Yes,50.75,0.973165,High
CUST-0590,Yes,116.0,0.973116,High
CUST-0107,Yes,4318.3,0.972758,High
CUST-0138,Yes,116.0,0.970896,High
CUST-0377,Yes,137.75,0.970161,High
CUST-0066,Yes,224.31,0.970136,High
CUST-0567,Yes,120.78,0.970103,High
CUST-0018,Yes,303.05,0.969335,High
CUST-0386,Yes,114.55,0.968097,High
CUST-0088,Yes,355.25,0.967938,High
CUST-0241,Yes,311.75,0.967824,High
CUST-0176,Yes,916.4,0.967064,High
CUST-0208,Yes,46.4,0.966814,High
CUST-0453,Yes,29.0,0.966773,High
CUST-0310,Yes,333.5,0.966698,High
CUST-0001,Yes,825.55,0.965352,High
CUST-0334,Yes,335.24,0.965233,High
CUST-0559,Yes,359.25,0.964934,High
CUST-0101,Yes,33.35,0.964926,High
CUST-0293,Yes,351.55,0.963684,High
CUST-0052,Yes,624.95,0.96339,High
CUST-0577,Yes,475.74,0.963303,High
CUST-0062,Yes,316.0,0.963288,High
CUST-0266,Yes,102.3,0.963195,High
CUST-0253,Yes,446.35,0.963174,High
CUST-0283,Yes,280.45,0.962665,High
CUST-0318,Yes,29.0,0.962602,High
CUST-0151,Yes,46.4,0.962229,High
CUST-0014,Yes,268.25,0.962162,High
CUST-0379,Yes,250.2,0.960962,High
CUST-0449,Yes,2288.5,0.960909,High
CUST-0155,Yes,1025.15,0.96086,High
CUST-0549,Yes,131.88,0.960471,High
CUST-0385,Yes,546.0,0.960304,High
CUST-0341,Yes,203.0,0.95789,High
CUST-0423,Yes,89.9,0.957304,High
CUST-0150,Yes,375.25,0.957259,High
CUST-0003,Yes,1004.49,0.955688,High
CUST-0508,Yes,220.62,0.953733,High
CUST-0218,Yes,120.35,0.953531,High
CUST-0357,Yes,361.12,0.951745,High
CUST-0061,Yes,1751.2,0.951438,High
CUST-0592,Yes,138.25,0.949349,High
CUST-0201,Yes,81.2,0.948886,High
CUST-0486,Yes,133.4,0.948066,High
CUST-0387,Yes,37.7,0.947892,High
CUST-0335,Yes,280.45,0.946676,High
CUST-0496,Yes,35.74,0.946485,High
CUST-0510,Yes,975.1,0.945883,High
CUST-0370,Yes,533.6,0.94533,High
CUST-0166,Yes,29.0,0.945124,High
CUST-0364,Yes,676.6,0.943788,High
